image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0325,234.361155 142.931893,232.81303 157.207787,232.583762 173.558446,234.131887 189.164547,239.945302 207.855548,246.40112 223.736319,256.904312 238.940637,271.066701 253.216531,284.287059 256.873472,300.751222 252.698984,323.31708 238.112109,343.267926 226.038092,361.107698 210.443341,377.57412 193.611445,385.371495 174.772889,388.30658 153.194466,389.257703 130.687618,229.235544 108.911719,233.226164 106.194553,239.268848 108.201214,247.054873 110.666411,255.540053 113.590145,275.867723 111.252061,289.707783 102.560314,303.596359 97.655443,318.040717 97.10737,330.68235 105.943723,268.542493 132.190342,265.88208 140.387242,262.740428 150.22533,259.868688 159.420488,256.062731 174.141735,261.3593 175.314061,266.661514 175.762719,275.743256 174.096779,284.228766 172.53551,236.803651 133.450187,239.524106 127.256598,247.489565 127.800848,255.031678 132.630591,247.765378 135.23893,240.851024 135.490899,296.45188 127.61407,300.261516 120.567296,308.488864 121.0504,317.357929 124.749878,309.634561 127.717956,302.517653 129.058368,258.005251 207.281247,255.758825 197.572314,261.678062 191.094109,266.35147 192.9431,271.901378 190.998398,288.844158 195.419477,307.356855 202.591472,296.256664 214.826654,282.897841 220.857988,274.723642 222.91005,269.266608 222.875999,260.229829 220.95105,261.812005 206.616145,262.972318 197.659865,267.82567 197.783233,274.517268 196.743742,297.850189 203.256575,279.411158 211.249168,272.119979 212.406859,267.580019 212.15489
image_0327,126.832547 159.444628,129.32382 173.982805,128.837264 188.235608,131.153174 201.476893,141.31223 215.083912,153.622358 226.30394,164.041209 238.669014,175.486369 248.761834,189.544442 251.642458,205.50437 249.260009,222.691117 237.063111,236.515857 225.956524,247.420419 213.468666,254.657557 202.228735,257.145281 188.407542,259.234191 173.408508,261.637723 158.672698,141.475498 145.803665,151.017645 141.847978,160.606072 140.044443,171.879691 140.730615,181.53726 144.782191,208.259283 143.790653,218.678134 141.529809,229.210425 141.73099,239.373149 144.222263,247.472661 150.119425,193.52855 156.854723,193.304886 165.970189,193.278294 176.416667,193.425701 185.788926,181.438509 192.330995,187.084226 194.203767,192.731801 195.652994,198.345914 194.488186,203.510417 193.792331,151.650436 161.994395,157.028248 157.128838,166.3313 156.78497,174.343071 163.197935,166.730115 166.23071,157.313621 165.744154,212.096783 164.741795,218.963508 158.932374,227.578824 158.731193,233.070076 163.080947,228.470627 168.025723,219.768234 168.206179,170.094224 214.667786,179.732111 210.457577,187.19559 209.198624,192.285741 210.550326,197.153083 209.853232,205.632793 212.866822,213.800683 217.429922,206.323396 223.256157,197.439015 225.440772,191.766888 225.288327,187.078267 225.144892,178.966418 222.754855,174.174686 215.180972,187.076217 215.479993,192.419423 215.609799,197.238009 215.648489,210.202443 217.287235,197.238009 215.648489,192.419423 215.609799,187.076217 215.479993
image_0328,469.901175 108.215428,471.205747 132.519022,473.05997 156.336997,475.108264 180.229498,480.811048 205.171341,490.107994 225.350633,500.226961 241.729658,518.552859 259.407921,541.719037 266.493787,566.735486 262.36775,591.123712 243.941041,611.882973 228.28659,631.340122 209.45769,643.682375 185.158701,646.272619 155.60355,650.226669 129.062517,649.828103 101.817936,480.966199 80.249254,495.220191 71.382358,511.835973 69.487808,527.70228 72.551664,540.12193 80.764641,553.762063 80.171241,572.694853 72.473624,592.892053 69.902562,612.585831 74.793575,630.315878 83.009265,546.183043 100.685805,542.497478 118.465601,538.974576 138.221867,534.726083 158.631887,522.558913 162.70349,531.020882 168.042172,539.556491 172.690281,552.412432 167.134282,563.502557 163.890903,490.992481 102.45244,500.179671 94.891656,513.245058 95.878148,524.493255 106.523934,511.772864 108.855479,500.012764 107.745514,576.238576 107.09383,588.514327 97.328187,598.902538 95.875202,610.887409 103.466102,603.767964 109.712674,589.530876 110.620565,513.732345 194.62873,526.74216 188.608747,536.357603 185.265588,544.38334 187.712508,553.906639 184.505963,567.735769 189.189406,581.431703 197.206922,567.520299 206.471851,553.923488 207.063295,544.598744 207.496164,535.545952 207.101197,525.822251 205.130914,519.433823 195.391141,535.944784 194.252264,544.426672 194.957602,553.744649 195.016506,575.584746 197.315579,553.744649 195.016506,544.426672 194.957602,535.944784 194.252264
image_0329,153.397723 164.790946,153.13554 184.177788,154.041163 203.887849,156.916217 221.51088,165.475728 239.362552,176.647989 256.782673,184.303779 272.366376,201.174224 289.402148,225.198974 292.941438,247.713604 290.834129,265.613365 278.662291,276.969149 260.284141,290.075841 244.573013,301.075224 225.897861,302.844869 202.767303,303.560859 182.00358,303.153058 161.514209,159.349411 151.618688,164.687376 139.619671,179.005741 137.229322,190.417491 138.423701,201.436034 144.68844,234.800733 142.227018,249.560199 136.593285,264.050747 135.359462,279.582464 137.436847,288.002381 148.443159,219.992467 161.701038,219.770678 176.555022,219.607839 191.171171,219.065059 206.375153,202.476234 210.087701,210.351337 212.879981,219.616391 216.237599,228.920372 213.27335,237.25385 210.048334,174.741088 165.05081,180.917417 160.063956,190.8586 160.34327,199.386764 166.571287,190.369926 168.68332,180.66541 168.993781,243.068354 165.532464,250.215467 160.621379,260.325386 159.018372,268.998082 163.769806,262.622903 168.674397,251.900496 168.877778,190.878825 234.802512,200.802308 229.821013,209.366915 228.823132,218.337993 230.159807,229.93706 228.464304,241.610889 229.43844,252.826439 234.177196,242.285737 246.639689,231.870316 253.099692,219.443744 254.043536,209.645255 252.441176,200.279378 248.551284,196.369021 236.951043,209.478937 237.967031,219.099908 239.503421,230.665762 237.412198,248.48239 235.3478,230.665762 237.412198,219.099908 239.503421,209.449321 237.785385
image_0330,729.097274 1727.684451,731.100208 1783.372106,737.320321 1827.108467,747.448517 1883.6762,759.677433 1933.714724,780.438492 1984.762584,802.193151 2036.706257,836.583608 2076.436749,898.280066 2084.155128,959.765217 2088.697137,1029.993818 2046.26347,1092.992972 1999.107957,1147.655556 1952.26154,1182.257321 1896.491834,1189.373246 1827.581663,1190.871513 1758.362397,1194.486237 1694.369644,731.409303 1653.563502,769.039073 1641.627945,804.959269 1637.215194,845.194428 1629.481078,882.005577 1634.259577,919.935878 1638.721184,960.649266 1629.900589,1000.470506 1626.118655,1036.761999 1631.355935,1070.822294 1647.030822,881.272778 1696.535132,873.470719 1726.915411,864.581133 1756.952542,856.856932 1792.036203,834.696008 1836.474439,852.540502 1844.183412,872.203189 1849.844402,896.3043 1845.726276,916.538877 1837.316942,776.582234 1694.806377,797.035406 1681.772107,820.164777 1685.028672,838.698548 1699.7679,817.236798 1704.651385,793.813435 1704.178049,958.614912 1706.188931,983.995021 1691.500904,1009.914233 1694.319453,1037.497802 1707.598564,1013.217311 1717.087898,984.954864 1713.904034,824.088226 1926.349298,842.351305 1916.731259,859.977969 1906.449326,875.59121 1912.492918,895.256436 1902.119736,937.552932 1921.266452,980.290579 1931.234848,938.228263 1963.066814,900.791909 1970.439591,879.635464 1969.114516,862.19577 1968.821157,843.339859 1956.283145,838.847423 1929.822436,861.870938 1921.018511,877.061514 1926.184953,897.504861 1924.571719,966.067168 1932.803175,898.559397 1941.716977,879.439892 1941.644412,863.060127 1940.640132
image_0331,117.292975 189.54248,119.313488 220.1378,122.964979 246.244598,125.330654 271.802042,131.27226 301.299312,153.803755 329.736486,177.030451 350.943446,209.176067 363.141307,237.994976 361.159818,266.33893 359.518978,291.492627 346.740677,309.6344 329.086444,321.670266 306.231587,326.327627 278.188078,330.539331 248.437768,333.300085 222.037172,333.837445 192.622655,149.687895 156.242577,160.573086 145.981617,177.409291 141.939995,196.302399 143.456835,215.004639 152.180139,258.593547 154.551933,277.206028 150.33452,296.124032 149.727115,312.625856 157.931745,324.641749 171.297921,235.962223 176.123424,236.809364 194.234243,237.656505 213.051617,238.186422 231.586611,215.273927 249.627743,226.041645 250.616679,236.880261 253.51138,245.847956 250.793317,253.50949 249.23962,161.715936 185.670292,170.7547 175.398568,186.509515 174.852326,200.975848 185.020221,187.407235 187.5459,174.955959 187.837698,264.312053 188.832962,277.08616 178.693364,291.836668 179.919613,303.96463 190.04777,293.020273 192.177667,279.775706 191.867033,186.010596 289.416358,203.592002 273.793579,226.482458 269.01291,235.374925 271.365039,244.636537 269.566114,262.278752 275.587454,281.620295 290.625367,266.56988 307.268845,245.526829 319.043529,234.573724 318.90537,223.639597 318.365228,202.10537 307.684959,189.850235 290.753391,225.612019 282.75872,234.833225 284.083144,244.874881 282.092195,276.982051 291.618275,244.246759 300.054628,233.934251 299.581401,225.010613 299.806944
image_0332,260.240598 147.506049,259.426988 170.795456,261.787849 195.924655,265.324849 220.592459,273.379661 242.742128,284.902865 260.330466,299.065603 277.083382,319.097649 288.265266,342.662074 292.578692,364.283221 289.985235,385.789085 278.372318,399.979874 259.082892,408.234931 242.244021,412.834016 223.245514,417.231496 204.066682,422.021665 183.707052,423.338138 162.395273,275.905204 129.929334,287.414259 117.781522,302.637505 112.318632,317.978726 115.949407,330.574838 124.137657,369.628011 119.943946,384.249255 112.811444,400.120499 116.451634,410.782802 127.766372,414.866189 141.579793,346.332177 139.778337,346.130507 154.574212,345.707945 169.072314,345.112042 183.271662,324.811906 193.933202,334.470664 196.003383,345.017844 198.606803,355.84228 196.508674,365.393617 196.069204,294.064211 142.633011,302.59511 135.776892,312.15065 136.672964,319.815296 142.674077,311.277557 145.7449,301.817342 145.916872,368.918515 144.447661,380.688358 140.202117,390.750776 143.354987,395.066118 151.392605,387.312752 150.85771,378.192011 148.172455,308.254358 235.260893,322.778842 221.71508,335.167765 216.938463,343.975646 219.38617,353.615998 217.40585,366.799823 220.923651,378.193594 234.191103,367.270471 244.899222,353.264535 251.587188,343.720528 252.433771,334.447708 251.330787,321.153516 245.366195,313.899313 234.08724,335.105012 231.832376,344.17432 233.006028,353.478358 232.067106,371.374987 234.08724,353.478358 232.067106,344.17432 233.006028,335.105012 231.832376
image_0333,356.697151 125.579001,357.242355 137.32577,361.225741 149.375266,366.229235 159.84022,369.938045 169.083973,376.507614 180.283887,381.019268 192.461881,388.142962 198.816602,398.935857 201.63775,411.673574 197.928939,420.956938 189.301455,429.912362 179.955947,437.906642 170.209017,446.138302 159.416123,450.067557 146.921526,449.85271 133.234003,448.614574 119.444724,355.916983 113.796689,358.981251 107.181911,364.199592 101.590422,371.14231 99.261113,379.668039 100.798916,398.686737 100.496997,407.895338 97.731631,418.271621 97.458458,428.052748 100.865638,435.021963 107.687362,389.41492 112.413123,389.070094 120.694199,388.278588 129.768313,387.933713 139.317331,384.148117 143.165356,387.783535 145.218714,391.809322 145.764161,397.594885 143.506217,402.546145 140.818809,366.053998 114.944407,369.955877 111.977052,374.432763 111.515901,379.702807 114.67225,375.015917 116.670437,369.913084 116.734242,406.262919 111.337352,411.100851 107.441202,416.699599 107.210185,421.889667 111.077296,417.117957 112.08365,411.452986 112.456798,382.8607 161.536925,387.591154 158.545031,391.803068 157.091384,395.811546 157.559496,400.213522 156.445731,407.41446 156.573932,416.044422 157.636761,408.438882 163.989455,401.076578 166.36681,396.181434 166.828811,391.655971 167.105058,387.472137 165.024471,385.026576 161.893611,391.558837 162.238486,395.796854 162.41827,400.651118 161.815581,414.111887 158.8245,400.651118 161.815581,395.796854 162.41827,391.558837 162.238486
image_0334,120.398021 108.141419,120.800706 132.860325,122.983221 158.956376,128.594657 180.961082,137.830254 201.874531,148.209404 221.632223,160.432886 237.077181,177.748322 250.365772,200.05112 253.587248,221.328902 250.742308,242.39901 240.540552,256.128868 225.33483,265.364464 203.044234,272.379195 180.298658,273.82084 156.942953,273.184564 130.496513,272.755731 109.232677,121.775168 80.275996,128.244269 67.792775,138.051643 59.298048,150.820753 56.505404,165.265101 61.909396,206.026889 62.688617,218.653055 58.752419,229.694631 57.88255,241.372483 60.065066,253.322278 68.092609,186.009457 86.17332,185.580624 100.553168,184.892051 114.933017,184.086682 131.131047,169.75913 143.290029,178.475246 146.537654,186.814826 148.381984,198.297438 143.887954,206.858871 138.563536,138.522959 93.964766,143.405338 83.61295,155.289124 82.303188,166.681328 92.212636,156.263096 96.29273,146.520222 97.696026,213.716977 87.510656,221.471847 78.224222,233.445563 78.183104,239.749542 86.694543,232.863811 90.902685,222.134271 90.850388,160.518491 182.94624,171.12233 166.283143,179.554713 163.50214,187.342286 165.16871,197.799888 163.720462,220.471743 165.25902,233.486141 176.636146,221.275876 196.391871,199.273643 201.536346,189.192583 201.731587,180.371873 201.64094,171.460516 199.63972,164.628998 182.59391,179.982038 170.935482,188.084785 171.340721,198.842292 171.92353,230.71914 176.310446,198.715811 193.378061,189.101935 193.508803,180.345725 192.729583
image_0335,97.852587 277.130566,102.569795 312.84657,110.993382 346.203972,121.101684 387.311071,140.644405 420.331528,161.534898 448.297834,185.794826 480.307461,216.793622 506.58905,250.487966 511.643201,276.769555 503.556558,304.061974 486.035499,322.930806 453.688929,332.365222 418.309868,340.451865 387.311071,348.538507 354.9645,359.994585 327.335138,364.037906 295.325511,144.013839 288.586643,160.187124 263.652828,193.207582 258.261733,223.532491 260.620337,252.172683 266.011432,299.344766 265.337545,321.919976 260.283394,335.397714 254.218412,350.223225 256.240072,363.027076 255.566185,278.820042 285.71356,278.534804 323.386331,278.848602 359.65382,278.281126 394.699318,242.06438 394.04994,256.240274 403.424949,274.747894 408.875451,292.94284 399.777978,303.388086 384.27858,184.189068 289.650113,198.261733 279.48917,215.108904 279.826113,226.901926 290.271359,215.108905 299.705776,195.229242 299.368833,304.026031 284.640879,316.528881 274.771961,331.354392 274.771961,340.741031 282.767591,331.269422 290.901996,314.895733 290.609959,212.413357 440.211192,231.748644 435.949437,248.129362 434.820097,264.639591 436.841757,278.791215 434.820096,286.694094 434.148859,295.612068 435.546623,286.46795 450.601458,279.496622 455.029673,264.150161 460.258676,247.543684 459.32033,230.426436 452.827955,218.967987 441.895909,247.792419 445.93923,264.642678 446.796077,279.055762 443.451856,289.679299 439.554218,279.055762 443.451856,264.642678 446.796077,247.792419 445.93923
image_0336,125.900975 110.346641,126.617372 123.166333,128.566475 135.672643,132.661607 148.205777,137.643238 158.691345,141.711545 169.00681,148.091994 178.642717,160.190449 182.51891,178.018597 182.480091,193.424444 179.310218,210.151873 176.355853,224.085413 169.871401,231.228477 158.562893,235.38925 145.644738,235.604169 131.866905,234.619205 116.680265,233.314861 102.830792,127.282956 92.783893,130.920221 82.070531,139.535529 76.26009,149.388333 73.260382,160.402203 74.460265,170.499916 72.549981,183.274793 70.150214,195.027456 68.841296,205.149153 69.917355,215.061047 78.18557,167.156837 88.342559,167.756779 97.204403,168.076159 105.081282,168.57164 114.223687,163.585303 125.262212,168.631285 125.739036,173.827835 125.386834,179.624328 123.867571,184.749239 121.324524,136.840399 97.554389,140.52649 90.990066,148.82721 89.894644,155.098114 95.489518,150.051204 99.221422,143.114029 99.763098,186.229684 88.760403,191.106855 82.193865,199.016556 81.665563,205.341351 87.527698,199.756026 90.007572,192.33956 91.160169,161.426699 157.802747,162.959151 146.072492,171.46089 140.964492,176.729081 140.749573,184.958161 140.645112,194.700508 143.820921,205.083214 150.317831,196.410469 155.754113,188.275667 156.629635,179.767608 158.661357,174.317318 159.228477,167.783602 160.004519,164.331803 155.917294,171.821246 142.978699,176.976821 142.665855,185.378606 142.74347,200.458182 150.784477,187.782452 153.801162,178.705006 154.488588,173.365175 154.951247
image_0337,67.185492 149.380612,71.431414 166.039558,76.738817 183.284634,81.452124 202.185287,88.217071 220.087816,100.487453 233.823707,112.623159 244.842541,127.635658 255.814134,145.782081 257.000425,163.578199 253.181311,181.616093 240.744657,193.243913 226.140095,204.371321 207.864491,206.221166 190.952015,205.135354 170.807922,204.704323 151.586752,203.795422 134.05117,78.526185 134.146091,85.944141 128.11978,95.86803 125.657509,106.207646 125.859814,118.137831 129.301579,142.19965 123.543286,153.608758 120.590044,163.776167 118.306572,174.337349 118.278413,183.366673 119.686857,131.190784 140.527581,132.48629 152.987685,133.972593 165.588956,135.331943 177.920322,125.115208 185.668061,130.357812 187.490405,137.36535 188.761327,143.407166 185.746477,150.647243 182.586444,92.014747 147.262594,98.871691 142.616884,106.435352 141.288065,114.458641 144.665205,106.460871 147.647901,97.71537 148.0846,152.741574 140.398144,157.612773 134.552636,165.140405 134.91734,173.368456 138.208816,167.066095 140.547239,159.198207 140.700713,118.992042 212.982195,126.031985 206.225343,134.628724 202.278781,141.204588 204.021664,147.032857 201.33383,156.936359 200.77255,168.353773 204.432075,161.438284 219.377757,151.930695 224.371635,144.57717 226.251488,136.291005 225.529926,126.382819 221.727313,121.645743 212.982195,135.04417 207.91121,142.037549 209.560664,148.010073 206.803121,166.084249 205.511558,148.873064 213.384074,142.999087 216.291433,135.894053 215.205174
image_0338,109.447443 123.771694,109.005721 142.947741,110.377196 162.067902,111.113505 180.297761,116.532835 198.488487,128.352739 213.74084,145.947294 228.540698,165.825062 238.154925,185.910166 240.307985,201.861815 237.754119,209.680648 227.240104,216.02986 213.936368,222.512674 194.872811,227.541787 177.294304,232.382314 159.660814,235.957726 145.249199,235.282003 133.045627,135.681242 113.125475,144.364385 104.442332,155.601394 100.356147,168.881496 99.334601,180.118504 103.420786,207.18948 108.528517,213.594281 102.429522,224.076497 101.691815,233.746558 104.737069,235.282003 120.276299,196.518228 114.013911,196.518228 130.79852,197.539775 149.547604,197.995564 166.764369,180.228472 169.554089,186.569969 172.563744,195.976503 176.73688,202.191717 174.072428,206.97726 169.255536,150.071994 121.675016,156.465704 116.677253,164.072317 117.054424,171.089539 122.240773,164.881644 124.283866,157.298664 124.283866,207.528952 124.057968,214.271925 119.19708,222.295007 120.229449,225.66766 125.048553,221.028352 127.599068,214.250237 126.826469,180.222943 200.589679,186.312508 195.810483,190.545939 192.390543,195.040172 190.153847,200.432093 189.637364,207.03103 190.882535,215.864501 200.695964,206.499646 211.613987,199.856795 211.268458,194.106442 210.161562,190.510826 209.272822,185.293388 205.467027,183.237636 200.49903,190.624285 198.098158,195.085698 194.342914,200.42426 193.658281,212.619399 201.151119,199.832275 207.234146,194.050403 205.632272,190.435699 203.001384
image_0339,561.898726 1069.074064,574.918605 1190.999092,603.970971 1301.742619,638.959097 1406.498186,675.092611 1500.840838,719.400462 1590.445324,759.968928 1680.35382,834.017412 1755.542987,980.998207 1775.446627,1115.611384 1755.49508,1227.316766 1703.127571,1327.868801 1625.906277,1413.254677 1534.262888,1451.593188 1425.5,1458.569932 1306.895349,1465.546676 1187.093106,1469.139453 1055.889163,587.955891 945.982189,600.605285 850.559867,689.098301 825.552202,776.030128 825.670959,856.704687 853.651299,1045.972491 854.403665,1136.358953 836.52917,1222.733349 831.372421,1307.964275 870.218078,1374.123344 939.121794,941.53925 960.222157,933.484172 1047.263637,928.424645 1140.684165,918.63857 1224.867165,868.156507 1260.596969,906.421105 1283.124811,956.180807 1298.737751,1008.2492 1274.379055,1049.098617 1254.875,700.238991 966.128072,735.279317 933.639535,786.459508 932.546347,824.63066 965.866594,780.422648 985.724016,730.85737 983.406492,1105.151163 958.05814,1148.261422 923.226621,1198.467623 932.129306,1229.684613 959.055293,1198.256841 976.005935,1146.252226 973.639758,829.255736 1457.56871,900.937271 1418.93577,943.018638 1402.278987,980.637267 1411.970064,1013.907754 1403.083557,1065.324557 1410.415766,1137.029867 1434.627711,1070.344529 1477.1781,1016.87702 1496.275848,981.419035 1498.860826,945.97303 1498.180735,897.27082 1486.283583,854.72357 1459.099276,945.413822 1453.406977,980.190738 1457.767525,1017.869897 1452.287432,1117.866747 1439.209271,1017.869897 1452.287432,980.190738 1457.767525,945.413822 1453.406977
image_0340,136.124309 135.726427,136.753113 152.127792,138.59816 169.745399,144.610429 183.57362,149.602269 199.806748,157.445797 214.614033,169.428972 227.421824,182.404999 239.824201,195.233535 241.295512,210.84443 240.035713,227.565966 233.056257,242.737299 225.32581,256.328341 210.463371,260.159093 192.845765,262.787391 175.815596,263.485138 155.875812,264.100154 137.237775,137.608038 116.110593,143.606876 108.339319,155.125877 106.676307,167.43751 109.679214,176.524993 115.183232,199.769199 112.684376,212.777401 108.717622,227.199732 106.508125,239.731165 105.582346,250.498096 111.693908,189.56491 128.43292,189.171968 144.031433,188.190293 158.781371,187.29648 171.721379,178.83998 177.019461,183.262163 178.627755,188.418656 180.61602,195.11893 178.372572,202.466078 176.565192,151.181178 131.966176,158.46225 128.41121,166.660015 128.233159,174.070552 132.469325,165.639585 135.629907,157.762447 135.586191,213.362305 133.157631,219.904463 128.246947,227.998958 128.401395,234.207041 132.833373,228.194771 135.02868,220.715291 134.860444,169.074256 196.012907,175.676265 192.751921,183.286597 191.359939,189.87565 193.660337,199.895183 190.645004,211.917106 191.84499,224.452803 195.607493,213.641144 204.506174,200.742805 210.059936,190.623443 210.519103,182.366269 209.795939,175.570966 205.023432,171.482926 196.803937,182.755177 199.901504,190.319983 200.489057,200.039674 200.070833,221.165856 195.737644,200.039674 200.070833,190.319983 200.489057,182.755177 199.901504
image_0342,139.391701 221.913204,138.731146 264.395701,147.581575 314.256997,157.357539 349.011167,170.938016 381.910568,194.647085 405.853517,221.640849 427.403872,244.802648 437.573104,269.801043 440.473827,295.305367 434.870879,314.424702 411.216099,328.244599 382.853525,340.308264 354.673408,352.055122 325.066676,361.951553 297.296501,368.602215 267.297466,368.059165 241.097573,187.599427 209.072077,208.555155 199.373728,233.044926 194.422579,258.769887 198.65439,281.310687 210.122554,319.803811 214.618557,332.241215 209.728836,346.791678 207.30601,358.546229 212.387685,368.299539 220.6784,302.067589 227.722422,301.957581 257.679001,301.411653 285.451865,301.476835 313.355094,270.126955 315.990975,280.662455 320.790213,291.853891 326.856498,304.858304 322.558363,315.528279 315.445046,218.650009 225.589391,230.705643 217.670898,245.130919 217.059861,255.511404 227.774382,242.897394 231.65749,229.120178 231.326754,320.007646 233.192804,331.794817 223.96644,343.676584 224.776653,353.279944 235.053775,342.94643 238.652597,332.044474 236.808956,234.283394 357.244886,252.783695 356.548235,280.477204 351.432533,289.148193 355.464282,299.028048 353.052434,309.832015 357.524698,313.749219 364.06828,304.469673 380.486564,293.670504 380.889305,281.427695 381.62206,267.636819 380.322696,249.472415 370.184788,239.279063 358.343235,276.812731 362.573915,287.609984 364.304201,297.050194 363.399294,308.791307 364.075656,297.050194 363.399294,287.609984 364.304201,276.812731 362.573915
image_0343,97.438855 158.092988,97.750629 186.814639,102.142136 216.776803,108.732757 244.171142,118.021112 265.645128,132.686458 284.599981,150.109894 299.346577,169.749878 311.052209,194.176348 313.698721,211.926222 309.210253,225.783805 290.735116,234.873418 270.792256,243.612301 251.484016,251.319432 230.553521,256.897078 212.809342,262.316011 192.902506,263.217494 171.458684,131.485528 151.317312,149.718996 143.278034,166.446178 137.559559,185.920284 140.654619,201.359017 149.539536,225.911508 153.518538,235.632895 148.724217,246.256664 147.538529,255.609753 150.943495,262.833983 158.439331,214.490542 160.811723,213.893175 181.380076,214.201023 201.64058,214.508872 222.100206,193.216096 225.341572,200.585295 229.161974,208.497705 233.308137,216.609239 230.06719,223.797228 227.097848,153.727777 161.117505,164.178527 155.592814,174.794133 155.31856,182.660713 163.316,171.718163 165.938094,161.239442 164.554911,228.10427 166.126948,235.507662 159.983002,245.294252 160.781088,252.542658 169.113504,245.137144 170.041627,236.80659 169.212377,166.327951 254.338435,180.207973 254.422009,197.770584 250.688161,205.187281 253.569205,211.295172 251.607089,219.735923 255.255408,223.905954 261.662263,217.749624 271.241206,209.999116 272.748148,202.418734 272.173569,193.720119 271.529274,178.698677 265.38667,169.799591 255.592414,196.067656 258.634841,204.154174 260.257866,210.697737 260.270014,220.592522 260.250077,210.697737 260.270014,204.154174 260.257866,196.067656 258.634841
image_0344,122.731461 141.036077,124.10624 156.488942,126.302535 171.215017,131.627293 186.351851,137.994873 201.172652,144.046421 218.568654,154.44278 238.934687,169.930718 257.738239,184.988519 261.038255,201.949327 257.938992,217.509015 246.375773,234.62945 233.0039,245.902964 213.739609,254.408999 198.18564,255.489004 178.00113,256.083004 156.768281,254.877642 135.960116,124.295693 132.487297,124.54885 120.431981,135.886286 118.258861,148.517811 122.138718,160.273023 130.038677,183.996692 127.25225,198.760172 119.248022,213.460814 115.240912,228.198072 117.41417,235.261174 128.448714,171.059584 142.287025,170.466982 156.098067,169.410038 169.023549,168.727719 181.520886,158.645917 184.407882,165.092297 189.274104,174.22453 190.632956,183.388614 187.741724,190.309458 183.459787,134.234346 139.108035,138.899064 132.021955,148.80199 131.429382,158.129475 141.469208,149.145307 144.549615,139.948379 144.353801,192.222154 139.443137,199.297916 131.424723,209.571732 130.803125,219.882139 137.682092,210.783896 143.691362,201.239471 144.064268,157.098148 209.081858,159.056675 199.418136,166.694353 199.919259,177.258776 201.174471,187.771955 199.459033,200.571715 200.526089,208.06927 209.51439,204.498196 225.851645,192.941979 234.829436,177.353099 233.947592,164.991875 229.815711,159.904117 220.024409,160.310542 208.786883,166.503777 203.787048,177.505715 205.997566,188.458613 203.730192,206.062427 209.925148,190.483815 224.655635,178.670667 224.140022,166.068586 218.520923
image_0345,74.933179 219.066915,76.083462 246.656581,83.493203 272.54464,92.469282 295.346014,102.261145 320.086301,110.962793 338.090853,122.387171 355.893378,137.297965 370.681858,160.916208 374.128308,182.481668 368.246116,204.155583 354.708619,226.181321 337.509508,244.267723 316.764136,252.391851 292.416674,253.717639 268.588,257.010938 242.381568,257.617439 216.572597,80.128433 207.439421,85.912873 193.322559,100.729822 187.599364,118.156 186.703926,132.98134 194.541368,172.925344 194.538082,187.201802 183.080997,204.489652 182.043008,222.449079 185.271016,236.005873 196.834267,154.573284 208.628019,154.850983 230.493802,153.254525 251.118546,152.474305 277.140215,139.035842 283.585444,146.607168 287.819096,155.63179 291.139613,165.426757 286.035856,173.932034 281.66409,98.402769 215.845396,107.376964 208.848044,119.136968 208.986373,129.578102 217.094935,117.767928 220.099131,107.377063 220.715347,186.273631 211.90499,196.853094 203.991776,208.079848 203.934755,217.792383 210.895512,209.011251 216.084091,197.774115 215.985045,127.725983 322.035306,138.333957 314.90771,152.279756 312.660671,160.339745 316.250866,169.799911 313.250941,188.093016 321.917041,196.600724 322.820925,188.964166 327.229475,171.08253 336.663517,160.705688 337.631061,151.122804 337.456109,138.614836 334.100476,131.487242 323.044784,151.270277 322.906456,160.730444 324.868392,169.771402 322.344696,190.791999 323.887424,169.771402 322.344696,160.730444 324.868392,151.270277 322.906456
